ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,None,157,150,0.9299920445505171,2338,1196.0762711864406,1396.0,946.9333333333333,1563.4506172839506,1133.6666666666667,1318.6296296296296,1304.9597069597069,1176.1821705426357,1485.2738853503186,1264.1349480968859,1184.93,1146.2884615384614,1255.5416666666667,2123.85,1101.5714285714287
เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,7,None,286,150,0.9421028253821213,4068,1393.3542857142857,1086.7142857142858,1825.0,1514.6132596685084,1163.0833333333333,1551.0218579234972,1521.7885462555066,1465.7254697286012,1874.6877323420074,1345.681623931624,1295.837837837838,1350.8,1153.139534883721,2049.8737113402062,1535.3333333333333
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,None,101,150,0.95897903372835,1052,1135.5,0.0,1500.0,1029.8347826086956,1100.0,1495.4782608695652,1100.7848101265822,1246.3839662447258,1408.3454545454545,1373.813432835821,1210.0,1049.3902439024391,1774.4,1605.3076923076924,942.3333333333334
เจ้าพระยา,None,None,Private,200,5750,7,None,350,80,0.8917117867555185,2141,1789.4566929133857,927.0,1002.0,2724.815789473684,1652.6,1702.2708333333333,2261.7238095238095,1562.290843806104,2333.4143518518517,1989.1630434782608,1586.287234042553,2084.84,1685.6666666666667,2555.0465949820787,2695.4166666666665
เซนต์หลุยส์,Top,None,Private,387,4500,9,None,188,200,0.9647662889518414,5449,1416.7064220183486,1871.948717948718,1072.5,1725.3202614379086,1225.357142857143,1574.5263157894738,1540.8358974358973,1401.4716187806587,1632.4281842818427,1494.7718446601941,1421.7932692307693,1450.366533864542,1383.5263157894738,1621.106699751861,1167.3636363636363
เทพธารินทร์,None,None,Private,80,2100,8,None,106,280,0.9596231493943472,713,1440.75,2650.5454545454545,9260.0,2347.930463576159,4534.9,1389.8039215686274,3724.0,1478.5470297029703,1395.4166666666667,1711.0135135135135,1641.0645161290322,1757.2758620689656,1333.3333333333333,2555.294117647059,0.0
เปาโลเมโมเรียล เกษตร : BDMS,None,BDMS,Private,162,4000,7,None,263,100,0.9331403000789682,3545,1234.639344262295,1514.8,1066.1,1502.058495821727,1289.1764705882354,1582.611111111111,1947.353591160221,1400.6772228989037,1662.2435897435898,1695.1925,1442.761421319797,1214.3701298701299,1646.7142857142858,1927.2722371967654,1115.6896551724137
เปาโลเมโมเรียล โชคชัย4 : BDMS,None,BDMS,Private,140,2940,8,None,183,100,0.9390223965996404,5744,1292.6434426229507,1276.5151515151515,1171.6,1055.676176890157,1145.5,989.282722513089,1230.0868852459016,1237.9976152623212,1419.586402266289,1226.326923076923,1186.5615942028985,1154.2243243243242,1453.030303030303,1680.4131355932204,1059.904761904762
เปาโลเมโมเรียล พหลโยธิน : BDMS,None,BDMS,Private,220,5450,9,None,305,100,0.9460052677787533,6465,1590.5263535911604,1322.791923076923,1756.787857142857,2235.325710900474,1603.7357142857143,2025.2794557823122,1943.335963718821,1657.1508529214238,2111.5834508348794,1839.0303046218492,1643.9636363636357,1550.6369520547944,1592.1,2221.1344468085113,2476.8448484848486
เพชรเวช,None,None,Private,200,4810,9,None,306,100,0.9601342845153168,2288,1086.936,773.0,988.2,1078.5393258426966,1245.8076923076924,2072.2580645161293,1231.973544973545,1132.274373259053,1101.4255319148936,1200.3201320132014,1192.05,1088.0518518518518,1320.764705882353,1747.9344262295083,1288.75
เมดพาร์ค,Top,None,Private,205,11000,9,None,394,430,0.8867924528301887,94,0.0,3830.0,2236.4,900.0,1733.75,6362.5,0.0,1667.25,2614.6666666666665,1492.4666666666667,3820.0,1388.5,1550.0,2506.5,0.0
เวชธานี,None,None,Private,263,5850,8,None,722,150,0.9327761627906976,2567,2041.0579200000002,3830.03,1789.8245454545454,3043.010200668896,1877.8353571428572,2512.5551315789476,4251.740722222223,1491.9021080139375,2324.992195121951,1941.481312849162,2143.7343859649122,2085.5481904761905,2183.678888888889,2001.1906081081083,2821.8
แพทย์ปัญญา,None,None,Private,125,2150,9,None,22,100,0.824,103,953.8571428571429,0.0,0.0,0.0,0.0,22.51851851851852,1622.5,873.7368421052631,1021.4285714285714,904.0,435.75,855.8333333333334,993.5,1829.3333333333333,216.0
ไทยนครินทร์,None,None,Private,190,6020,9,None,346,125,0.9270805096232041,3420,1688.5612903225806,2005.25,5353.111111111111,2632.201923076923,1896.9166666666667,1508.857142857143,2564.3727272727274,1544.0410526315789,2147.448888888889,1616.5526315789473,1636.2222222222222,1614.7601809954751,1657.2903225806451,1912.9717647058824,1830.6818181818182
กรุงเทพ : BDMS,Top,BDMS,Private,263,11300,9,None,1198,300,0.9378729378729379,5344,2083.7825988700565,4639.711411764705,2377.2156896551724,3822.677270341208,3113.7181666666665,2552.0906993006993,3536.057247058824,1928.7546594005453,3288.965090579711,2279.800895061728,2906.9483766233766,2890.203953488372,1999.0806666666665,3060.761168831168,3658.1742307692307
