ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
กรุงเทพคริสเตียน,Top,None,Private,244,4900,6,None,319,400,0.9370015948963316,4700,1443.380341880342,1904.457142857143,1572.565217391304,2291.444155844156,2549.384615384615,1810.63141025641,2608.878048780488,1530.945701357466,1841.947229551452,1461.689940828402,1659.385416666667,1521.369098712446,1423.09375,2065.808333333333,2207.242424242424
กล้วยน้ำไท 1,None,None,Private,160,6650,8,None,85,100,0.9376083188908144,541,1098.204545454545,800.0,0.0,1224.214285714286,812.4,931.9333333333332,1305.75,1105.673913043478,1226.818181818182,1221.507692307692,1206.683333333333,852.0714285714286,0.0,1853.326086956522,1150.0
กลาง,None,None,Public,475,3000,9,None,116,30,0.8580645161290322,133,952.6875,0.0,0.0,5246.666666666667,0.0,2076.02152173913,4996.728260869565,825.0,1261.428571428571,1220.4125,599.6666666666666,563.5,0.0,1090.4,2370.0
การไฟฟ้านครหลวง,None,None,Public,80,0,6,None,29,0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0
เกษมราษฎร์บางแค : BCH,None,BCH,Private,311,5600,5,None,157,150,0.9299920445505172,2338,1196.076271186441,1396.0,946.9333333333332,1563.450617283951,1133.666666666667,1318.62962962963,1304.959706959707,1176.182170542636,1485.273885350319,1264.134948096886,1184.93,1146.288461538461,1255.541666666667,2123.85,1101.571428571429
เกษมราษฎร์ประชาชื่น : BCH,None,BCH,Private,362,4800,7,None,286,150,0.9421028253821212,4068,1393.354285714286,1086.714285714286,1825.0,1514.613259668508,1163.083333333333,1551.021857923497,1521.788546255507,1465.725469728601,1874.687732342008,1345.681623931624,1295.837837837838,1350.8,1153.139534883721,2049.873711340206,1535.333333333333
เกษมราษฎร์รามคำแหง : BCH,None,BCH,Private,139,3800,8,None,101,150,0.95897903372835,1052,1135.5,0.0,1500.0,1029.834782608696,1100.0,1495.478260869565,1100.784810126582,1246.383966244726,1408.345454545454,1373.813432835821,1210.0,1049.390243902439,1774.4,1605.307692307692,942.3333333333334
คลองตัน,None,None,Private,30,2000,4,None,21,100,0.7837837837837838,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
คามิลเลียน,None,None,Private,120,4400,7,None,146,100,0.9786381842456608,733,1161.571428571429,0.0,500.0,1321.034482758621,1598.2,1287.25,1191.071428571429,1016.183823529412,1084.181818181818,1045.092105263158,1065.105263157895,1129.51724137931,907.375,1261.833333333333,717.1449275362319
จุฬาภรณ์,None,None,Public,115,3500,8,None,445,100,0.8468809073724007,448,0.0,2914.798507462687,1659.928571428571,1203.684210526316,3972.857142857143,4327.895833333333,2540.189393939394,554.53125,2022.076086956522,830.0431034482758,1458.488372093023,1575.064814814815,0.0,1093.966666666667,506.0769230769231
จุฬาลงกรณ์,Top,None,Public,1485,3500,9,None,435,20,0.8511742217367558,3117,3606.619047619048,3311.375690607735,3559.891891891892,1991.789625360231,3972.06,1987.564516129032,2120.785714285714,1670.547413793103,3264.084862385321,3222.148247978437,1569.221606648199,2210.793388429752,802.9230769230769,1781.555555555556,2002.714285714286
เจริญกรุงประชารักษ์,None,None,Public,424,2000,9,None,117,100,0.7567567567567568,28,0.0,270.0,600.1,0.0,0.0,805.5,2040.0,700.5,870.0,644.0,7685.0,0.0,0.0,724.0,0.0
เจ้าพระยา,None,None,Private,200,5750,7,None,350,80,0.8917117867555185,2141,1789.456692913385,927.0,1002.0,2724.815789473684,1652.6,1702.270833333333,2261.723809523809,1562.290843806104,2333.414351851852,1989.163043478261,1586.287234042553,2084.84,1685.666666666667,2555.046594982079,2695.416666666667
ซีจีเอชพหลโยธิน,Top,None,Private,120,4430,8,None,384,150,0.9064327485380116,1705,1302.958333333333,1728.0,2204.4,3147.428571428572,1354.0,1708.694915254237,3191.027027027027,1470.48033126294,1882.218181818182,1723.852272727273,1529.777777777778,1312.870967741935,1736.473684210526,2001.488888888889,1215.0
ซีจีเอชสายไหม,None,None,Private,100,3890,8,None,384,50,0.9361820199778024,1687,1076.970297029703,1354.333333333333,0.0,1446.415841584158,852.7272727272727,1147.531914893617,1463.948979591837,1466.092748735244,1346.295918367347,1316.976047904192,1264.105263157895,1085.612068965517,2079.636363636364,1718.836257309942,579.5
เซนต์หลุยส์,Top,None,Private,387,4500,9,None,188,200,0.9647662889518414,5449,1416.706422018349,1871.948717948718,1072.5,1725.320261437909,1225.357142857143,1574.526315789474,1540.835897435897,1401.471618780659,1632.428184281843,1494.771844660194,1421.793269230769,1450.366533864542,1383.526315789474,1621.106699751861,1167.363636363636
ตากสิน,None,None,Public,418,1800,9,None,197,50,0.9130434782608696,21,5.75,0.0,0.0,9070.0,4048.75,0.0,0.0,343.75,0.0,2921.428571428572,8728.386666666667,0.0,0.0,0.0,0.0
ตำรวจ,None,None,Public,485,1600,8,None,363,50,0.6868131868131868,125,0.0,4541.458333333333,740.0,1449.191176470588,5541.0,553.0833333333334,1242.58,0.0,561.4285714285714,1263.586956521739,3004.0,1997.875,930.0,185.0,0.0
